ix_name,prefix
Equinix Ashburn,2001:504:0:2::/64
Equinix Chicago,206.223.119.0/24
Equinix Chicago,2001:504:0:4::/64
Equinix Dallas,206.223.118.0/24
Equinix Dallas,2001:504:0:5::/64
Equinix Los Angeles,206.223.123.0/24
Equinix Los Angeles,2001:504:0:3::/64
Equinix San Jose,206.223.116.0/23
Equinix San Jose,2001:504:0:1::/64
Equinix Miami,2001:504:0:6::/64
Equinix Palo Alto,198.32.176.0/24
Equinix Palo Alto,198.32.175.0/24
Equinix Palo Alto,198.32.177.0/24
Equinix Miami,198.32.114.0/24
Equinix Atlanta,198.32.182.0/24
Equinix Toronto,198.32.181.0/24
Equinix Vienna (VA),198.32.190.0/24
Equinix Vienna (VA),198.32.191.0/24
Equinix Vienna (VA),198.32.192.0/24
Equinix Vienna (VA),2001:504:e::/64
Equinix Seattle,198.32.134.0/24
Equinix Seattle,198.32.133.0/24
Equinix New York,198.32.118.0/24
Equinix New York,198.32.119.0/24
Equinix New York,2001:504:f::/64
SIX Seattle,206.81.80.0/23
SIX Seattle,2001:504:16::/64
SIX Seattle (Jumbo),206.81.82.0/23
NYIIX,198.32.160.0/24
MAE East,198.32.187.0/24
MAE West,198.32.200.0/24
NOTA,198.32.124.0/23
NOTA,2001:478:124::/64
LINX LON1,195.66.224.0/22
LINX LON1,195.66.230.0/26
MAE Central,198.32.139.0/24
IX Australia WA,198.32.212.0/24
Digital Realty | Telx Atlanta,198.32.132.0/24
Digital Realty | Telx Atlanta,2001:478:132::/64
LAIIX,198.32.146.0/24
MXP,198.32.178.0/24
Equinix Zurich,194.42.48.0/25
JPIX,210.171.224.0/24
DE-CIX Frankfurt,80.81.192.0/22
SFIX,198.32.129.0/24
SFINX,194.68.129.0/24
SFINX,2001:7f8:4e:2::/64
SFINX,193.54.79.0/24
MIX-IT,217.29.66.0/23
PARIX,198.32.247.0/24
PARIX,193.251.216.0/24
PARIX,193.252.127.0/24
PARIX,2001:7f8:2d::/48
NYCX,198.32.229.0/24
HKIX,2001:7fa:0:1::/64
TWIX,210.62.255.0/24
Manila IX,202.0.91.0/24
INEX LAN1,185.6.36.0/23
INEX LAN1,2001:7f8:18::/48
VIX,193.203.0.0/23
VIX,2001:7f8:30::/64
LONAP,2001:7f8:17::/64
LONAP,195.35.120.0/24
BiX,193.188.137.0/24
FreeBIX,195.85.203.0/24
BNIX,194.53.172.0/25
SwissIX,91.206.52.0/23
SwissIX,2001:7f8:24::/64
NL-IX,193.239.116.0/22
NL-IX,2001:7f8:13::/64
NL-IX,194.246.39.224/27
FNIX6,2001:7f8:25:1::/64
NIX.CZ,2001:7f8:14::/64
GigaPix,193.136.250.0/24
INXS by ecix,194.59.190.0/24
DE-CIX Hamburg,80.81.203.0/24
DE-CIX Hamburg,2001:7f8:3d::/64
GN-IX,193.111.172.0/24
LIX,193.168.127.0/24
DIX,192.38.7.0/24
SD-NAP,198.17.46.0/24
PacificWave,207.231.241.0/24
NIX,193.156.90.0/24
BCIX,193.178.185.0/24
iAIX,210.184.127.0/24
MadIX,144.92.233.224/27
MadIX,2607:f388:0:2200::/64
ECIX-DUS,194.146.118.0/24
ECIX-DUS,2001:7f8:8::/64
DIX-IE,202.249.2.0/24
SOX,198.32.141.0/24
Equinix Sydney,45.127.172.0/22
WIX,195.85.195.0/24
FICIX Helsinki,193.110.224.0/24
PIPE Networks Sydney,218.100.2.0/24
PIPE Networks Brisbane,218.100.0.0/24
